token_address,buy_timestamp,rvol,natr,vwap_dev,stoch_k,stoch_d,upper_wick,lower_wick,market_cap,token_age_hours,data_points,label
J4qnkUaGmtJrPb8rMbN37jXrgLDxYEyEEi4mTaaWbonk,1751499024291,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,4703491840883.38,0.00,1,good
7zB35St48ocPuqwUGgojL71a3Rs8r81XSaFeP89kbonk,1751498759170,1.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,4702212708273.85,0.00,1,bad
4NpxiHHJUAekctv8NViiY7GLqzyiy5D1YpgZ3Zbi5xQV,1751498628929,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,11061227819855.30,0.00,1,good
FifRxx75qiz5zKWG1mtM89MQTxySkfU2swePDEgrbonk,1751498618684,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,11131991271045.27,0.00,1,bad
EcrkV7voJyepNVzVzYjJcGSpEQxgHET59y9uoh6vbBLV,1751498592681,15.5335,77.6446,0.5410,75.2223,75.2223,0.2478,0.0000,64125271918816.88,0.02,2,bad
CGFJHmhNDgoUHAc3Mo6L4HDGRVfkYBAGqGN885sFfBLV,1751498529287,0.4138,46.3758,1.0825,94.0416,94.0416,0.0342,0.0032,69002033435660.79,0.03,3,good
2eXumWcXtFeteG9ZPXjbNmP5iSQZkpTswjpp9ZMapump,1751498420537,0.6863,58.5342,1.7157,100.0000,100.0000,0.0000,0.1490,22501893818853.52,0.02,2,bad
2HyScqnDjZZxqPYmX82g8fdj3XHeB4WyszVMewa3bonk,1751498270216,1.0000,0.0000,0.0000,54.2723,54.2723,0.4573,0.0000,5776852314000.31,0.00,1,good
Bq4DG1AdCskR6d6XeU8F3BjdYPDQVKCcQ7EXe9ucbonk,1751498263249,1.0000,0.0000,0.0000,73.5924,73.5924,0.2641,0.0000,12358107748825.25,0.00,1,good
GvtQrwiGK1Bn2DDvj39z2PMuquhS8bonjrzMFWpmbonk,1751496924494,0.5116,56.8852,0.1264,38.6165,38.6165,0.1862,0.0000,60454594743788.73,0.62,38,bad
65P7CAT38ePXVPtoTaefmMkpwKS7Lq454HV7g4B4pump,1751497881148,1.0000,0.0000,0.0000,54.5786,54.5786,0.4542,0.0000,35678981591761.28,0.00,1,good
C5WxtUajuMBvo5dsVYWuobxAsopSw4jn52C18LMhbonk,1751494187344,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,6650983502841.68,0.00,1,good
GwbL6pffj53EEGH7qtGUHJsunoWaZZY2zBGHHjHbZZVD,1751497663895,1.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,5176123503191.43,0.00,1,good
7jo8bQXUvN2nvtVyJQFGHUim5emfV8q5THLBmfWTpump,1751497294272,1.0000,0.0000,0.0000,24.8508,24.8508,0.7515,0.0000,12063106732913.96,0.00,1,bad
5TJQDjPpCGJTnnJju8uZqPF1BrcDjP8oigKcGRdBpump,1751497279958,0.8490,61.2850,1.5363,71.2097,71.2097,0.4186,0.3857,62394928381594.26,0.02,2,bad
55KrNjWHrkgxCzTLvcgaKYDxaopuxZK8vETi1CJNpump,1751494996665,0.7992,17.2554,0.6492,65.7678,65.7678,0.0102,0.0000,217579725526975.81,0.37,23,good
DZwzmamdzZ5kgYYsGXPvFMM9m8uCfTKgsK74kH8Dbonk,1751492495703,9.8288,17.3222,0.6931,52.9495,52.9495,0.5288,0.0000,50042003561635.13,1.03,60,bad
6PJaajMr78KgeWxTGZsG1dnFLViJY4chvTyyvZuUiZST,1751495036119,1.0000,0.0000,0.0000,26.3859,26.3859,0.7361,0.0000,6637879029582.91,0.00,1,bad
9b5jnfXoxQS8z2zWwwYqK59uTxHYXQ5mda3mvdERbonk,1751494851145,1.0000,0.0000,0.0000,95.7430,95.7430,0.0426,0.0001,15966527440551.34,0.00,1,bad
8yqYvtj4w57o1LPG4LTbQydoAu193K1xwvXmF66abonk,1751494543515,1.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,5183348135570.26,0.00,1,good
EshYkqwe15tfHNvps4uKiw1NsRuvb82MzJshfoHjZdA8,1751493897615,1.0000,0.0000,0.0000,31.4803,31.4803,0.6852,0.0000,5354077120211.06,0.00,1,bad
HeUtkAYoKLYNvJDKYDw6MMXZqTcx1HWMMFMCLgEvm5AK,1751493869227,1.8062,33.2956,1.5190,79.7883,79.7883,0.4291,0.1115,52197610794985.56,0.08,6,bad
FdiPGYcSwGLhbFgqg4Ga5LqczG8gHkh92HNHkQDWpump,1751493344905,2.2210,19.3174,1.4506,84.4589,84.4589,0.3623,0.0000,9264258517846.53,0.08,6,good
9rY1oGng2Pon473tXmam8jiFeUWBvHQtskhhuDsvpFs3,1751493306671,1.1219,48.0457,0.2230,62.8708,62.8708,0.4514,0.0000,61434745726043.31,0.07,5,bad
AEGr6sKTqaxcQUBmaYn2qtx8HuGfBF2qaeBY4SKT23fE,1751493020862,1.0000,0.0000,0.0000,41.4918,41.4918,0.5851,0.1243,6377461300122.91,0.00,1,good
42Xa7s2HLvW3yKYdTkxErBmkf6UmK2RQ5DBBfL46pump,1751491610278,4.6991,11.5532,2.3987,100.0000,100.0000,0.0000,0.7305,30433626146461.90,0.72,44,bad
F3LZKbW4bN3csydHhsnHxFiVxv4EoGsjRSVDEp59bonk,1751492456742,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.5753,14001203739565.08,0.00,1,bad
ZAPNUc3UqbrscCug58kroeghUguiaci22uHKRjnpump,1751491899338,1.0000,0.0000,0.0000,95.1499,95.1499,0.0485,0.0000,44137278187237.36,0.00,1,good
Cf6fYeWeN2adKbFDX8hLoCfC1njBQzEi44pLLXwopump,1751489426721,1.9316,12.1218,2.3400,97.2514,97.2514,0.1104,0.0116,30470360995366.80,0.42,24,bad
HnZvP4r8eMtnbzK7MNHgbGWAxcKeF5Ea36iUzuJQBdr1,1751490967211,1.0000,0.0000,0.0000,55.8725,55.8725,0.4413,0.0000,7781550222403.28,0.00,1,good
H1bebrkZPwAB9dRVWBYSVZt4QDKKFfpVMkAyoGarbonk,1751491031601,1.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,5481437699078.74,0.00,1,good
Bvs5KsBpf7GZMj15yatGtSggSoCVfVExbnN5ALedpump,1751490909345,2.1090,30.0129,1.2900,100.0000,100.0000,0.0000,0.0000,10039599602824.87,0.02,2,bad
G95Ymh2s4qSkKA6mdegcEu4qf2QWk1A1a7c85Kg7eBLV,1751483088261,8.5459,12.6186,1.3526,60.0801,60.0801,0.6046,0.0000,109581093354731.38,0.20,12,good
Ga3XiQcJA21WDrCsRQQNkRTmUBAvGAShE58JkdRXpump,1751490686174,1.0000,0.0000,0.0000,44.6361,44.6361,0.5536,0.0000,30410314732572.90,0.00,1,good
ECkWXHETHXxNxRYYxhp2gpBUbnB5my6KXtUFbnmERBhf,1751490675544,1.0000,0.0000,0.0000,30.5843,30.5843,0.6942,0.0000,6558871139158.91,0.00,1,bad
DRj6ZhYxx5rM7DJrh442kH8yHkKJgrcVjVpgJ6opdS8h,1751490662096,2.5799,63.4182,1.0929,99.2922,99.2922,0.0093,0.0000,24499218203529.58,0.02,2,good
E8CtpaxQ7c27AKDyD7LpKC6CeU5Hc84fKVcpTuETf8Yx,1751489696681,1.0000,0.0000,0.0000,46.4008,46.4008,0.5360,0.0000,33339738875747.88,0.00,1,bad
91LRTkYT8R6tFbTFCGox4H1sv2FqVFKdWWpPyca6vEu2,1751489658623,1.0000,0.0000,0.0000,74.1880,74.1880,0.2581,0.0000,17174754533944.86,0.00,1,good
2tdVu8ahSK74ThXGQAmsyEkLpPFB29TfzYutpnEmsXyN,1751489668674,1.0000,0.0000,0.0000,98.5456,98.5456,0.0145,0.0000,7952571769613.96,0.00,1,bad
