token_address,buy_timestamp,rvol,natr,vwap_dev,stoch_k,stoch_d,upper_wick,lower_wick,market_cap,token_age_hours,data_points,label
2tXqPPPYWVP17aeZAmTcfvUvYbJee7gPtvsSKvvxurp2,1749564849525,0.5717,20.1357,1.5272,94.1834,94.1834,0.0909,0,11378602836086.7,0.02,2,good
6TjbvGKYuv33p5JTPiMuvjqvqrNSWbwMn87pSK3dbonk,1752814223287,1,0,0,0,0,0,0,5115177586692.04,0,1,bad
G8SFbBVEVh7Z4kFcsmXXuuiXhprZc3xJKKUWwgDbonk,1751666214652,1,0,0,50,50,0,0,4674332455317.11,0,1,good
Aya5C2RcjVJckM4Xhkj9hFGSHM67Vj3usgxZtxKgpump,1749340249200,1,0,0,100,100,0,0,8536423994171.41,0,1,good
EA9T1xSkbTCUmomFWVBTyz6TLBYwpTxYUuxBLo4rpump,1748546712770,1.0025,40.5991,-0.8584,29.773,29.773,0,0,5632403898909.13,0.02,2,good
HdJqD64nMLrw835vFC8qdEMxx3UkYHQTwVTMRKLBpump,1751413143218,0.6009,26.3128,-0.7895,44.8536,44.8536,0,0,6200425728338.96,0.02,2,good
8ncucXv6U6epZKHPbgaEBcEK399TpHGKCquSt4RnmX4f,1752773138705,109.8326,6.3608,1.8588,67.9705,67.9705,0.3671,0,4849128241195840,1.88,60,good
9dCo1xfY2TjpnERSKmushYEc5tjmvvySwXtNfSKNbonk,1751320341345,0.6419,77.1693,0.716,60.6676,60.6676,0.4511,0,35266609176627.77,0.02,2,good
UspirC2s7xVS9qR9LCV6NYgJcAf8eLdVXxksyDhpump,1750205094582,1.6588,29.6216,0.1204,51.4928,51.4928,0.2165,0.1652,10809734104384.72,0.13,9,bad
DrmL67V2YBJH6JxMtYDZkM3BRQ1RqfgHGL5YS1Pepump,1749688186547,1,0,0,0.8427,0.8427,0.9916,0,4540963972713.54,0,1,good
Ak8HPbAkgWcsyznXMHQqQLLWHRW2QSHxvNPddhQ9MUEo,1752175542983,2.9322,116.9199,0.7728,67.2597,67.2597,0.3722,0.0479,42580088855426.24,0.02,2,bad
7CkPkaehxNpjJDCvezKCg8Lrb3YGENgKm94g44vm4xyt,1751437702361,1,0,0,68.0428,68.0428,0.3196,0,16958205364852.79,0,1,bad
AnFNa7KvXoDXMxbRMSRjCaJPjD3M4ePYvN36Sh3zpump,1747946379874,1,0,0,70.8753,70.8753,0.2912,0,44336906336023.83,0,1,bad
F94SkyoEu92jAB7vpjm3Jdp1BqL7L9GiUxWv1YUQbonk,1752364652674,1,0,0,99.9631,99.9631,0.0004,0,8876219086831.77,0,1,good
5mJghRkZXFif9V6TF8bE7WrTm36mFA6k5jFC3TDuyw98,1751905062032,1,0,0,0,0,0.7292,0,4630592773750.29,0,1,good
ApvADWg1ViHeZ61CZtkGUnTxnY26aSDZn3SF6JYYbonk,1752420010996,1,0,0,0,0,0.0007,0,4656845173649.46,0,1,good
CjoGpiBeaX9xQPhNfUcU617GqZK8tehVED9sJYe3Vray,1752536220940,14.1271,6.5105,2.7368,97.9129,97.9129,0.0281,0.0356,71106038710138.83,0.48,25,bad
6JnhoXxc7iUsjkze8xLb263cXVJXwevVCYWAjHm4pump,1749672962976,0.3893,0.3414,63.2762,100,100,0,0,8174441367485.21,0.02,2,good
9bim7m7G9qcBFwkKRcsQoF4LMQiP8X6CLszRcDCpump,1750820140857,1,0,0,100,100,0,0,11368163823199.57,0,1,good
AXBQ38bFuNehwJHYXmFXUgtRo7K6TSZSBconwrnPpump,1748978394030,1,0,0,97.3589,97.3589,0.0264,0,6391615724722.56,0,1,good
5b14aEcjLT7msBCLgMbwnaGffSrTUSCHaArv8Qpobonk,1750090792247,5.542,24.1777,1.3458,100,100,0,0,90098927767275.06,0.05,4,good
3Ha29kYEKAP9TDPwbSGkgXSg9M4MLhpUg33FxtsYrmZL,1751671347698,1,0,0,100,100,0,0,58496416498146.77,0,1,good
HeMx8AezPPhqsagkCNhYvRgfrpunS4gyVDp74T9zpump,1749839140983,1,0,0,99.119,99.119,0.0088,0,7653798816591.87,0,1,good
4xhJv4ffYxDwQGyaiAv3dCSkocDGLVa45FRDZNdkbonk,1752626256359,1.612,15.4829,-0.2556,59.4599,59.4599,0.1924,0.379,68293452534846.96,0.98,60,bad
Ecrb6qncv5CFAfBibi8eAYiAjXmiwWBjqTUQtGwHpump,1749577972325,1,0,0,99.0006,99.0006,0.01,0,12652234091830.31,0,1,bad
8EE8FzxbCC6EKsaGAfzFGAGY2tyoacgLCq6paHehbonk,1751922855393,1,0,0,100,100,0,0.0002,7061983184971.76,0,1,good
HzRsHhcZvtsLgpoeSkA6Lh18FR5JUPpg4xKG1SPFpump,1751327851430,1.8812,17.9161,1.4373,81.3307,81.3307,0.6551,0.3426,157373083306461.4,0.23,15,bad
7LJYjs8VpJer9mug7Awrh4W4747YTWGcnKECAFepn2jx,1750776112590,1,0,0,100,100,0,0,4776757873882.03,0,1,good
6qDdC7L5X7dDJjuX43wLAdrCQ6prYZo3UQ5oHTDVpump,1747945771044,2.556,55.3188,0.8778,95.0687,95.0687,0.088,0.2426,54777210486741.88,0.03,3,bad
piGvVknDHZZpyiUSA6PjHUqTNmMzc9FyGccCRbNpump,1748662233194,1,0,0,44.7566,44.7566,0.5524,0,7299417757627.26,0,1,bad
GUP6KRK9gbiH7BdskCd2Q76MXeZprSrQYNPC113VzzgX,1752794816444,5.345,9.8326,2.3411,100,100,0,0.3433,55377148588047.32,1.07,60,bad
H1F1pMbhyc1YKfFxDMrJmbReTah2k9gcaxymmjCuK177,1751776863709,1303.6967,4.1954,-0.6738,0,0,0.0091,0,4636599493911.62,0.02,2,good
D2a5JdknWmvy74EyjpJjAFtpqgGb35AVAFuL3oc8bonk,1749406435665,1,0,0,0,0,0.479,0,4304886965023.97,0,1,good
G3VLLzaJKNwpsqQ2sosuR3m7HeFawbSUAYqkZW1ptBLV,1749428140902,1.4775,20.2402,1.9125,99.7194,99.7194,0.0054,0,74116454956994.1,0.07,5,bad
ChckK4zpvNkr5WmJebZmP3iJVLVZNcuuqrXeBgScpump,1748565929249,1,0,0,0,0,1,0,4662613639352.28,0,1,good
DYY2ZANFMyubAuYhQek2T1nuUBqcpBLD87FHS4C2pump,1748809284415,1,0,0,100,100,0,0,20435378144406.06,0,1,bad
HmDEjpdXDLNu7BWLP3amWsjMcYf3fhX8hhv92ZPRpump,1749648007228,5.6308,5.4033,2.3687,76.3403,76.3403,0.2879,0,41172904368545.54,1.05,60,bad
42sDgf2dssoCQKGW3goEbBUX6dhutFtM7R4H632Cpump,1750348146942,0.116,8.9696,0.7918,93.2815,93.2815,0,0,270069932326541.5,0.58,32,bad
EeRL4rB484b3cRp8vppCx8ZV4wiRvESCS3Ko6P2hbonk,1752766014027,2.6007,151.5987,0.3301,33.2708,33.2708,0.6673,0.0183,44574732353279.73,0.03,3,bad
HSbuYi4wtQmixdoEJkyMgAiLQGWyHF2EjpuK1me7pump,1747761974314,12.1707,90.0671,0.6747,87.5314,87.5314,0.1418,0.0007,45192108661324.7,0.02,2,bad
8fgJHGRWh3sWT3cPGbhtkJPRy5BYoDTHZ46T7ewzpump,1749396384970,2.2213,12.8851,1.4829,88.6928,88.6928,0.3999,0,61441397403643.04,0.25,16,good
